Latitude,Longitude,LeadLevel,Month,SalesPrice,LoanAmount,CensusBlock,InService,DistToBoundary
42.9047,-83.700393,0,61,1.85E+08,1.85E+08,0.00075,0,18200.84457
43.0045,-83.711048,0,151,3574000,3574000,0.00175,1,6173.431978
43.08138,-83.742345,0,123,3190000,3190000,0,0,3305.332237
42.997893,-83.737619,0.02973333,208,2682704,2682704,0.003190476,1,104.9450058
42.982592,-83.709604,0.016217315,205,1975000,1975000,0.007247059,1,575.1196265
42.967731,-83.680961,0,90,1666339,1666339,0,0,4072.119215
42.992815,-83.647125,0.012531361,219,1500000,1500000,0.0004375,1,902.4893439
43.002371,-83.633371,0,86,1300000,1300000,0.0805,0,840.1186763
42.895182,-83.598268,0,84,1200000,1200000,0.001,0,34953.55173
42.99035,-83.730669,0,25,1124000,1124000,0.021617647,1,619.8500067
42.888684,-83.593123,0.015032171,222,1100000,1100000,0.001,0,37683.67378
42.888684,-83.593123,0.01537838,199,1050000,1050000,0.001,0,37683.67378
43.038461,-83.509842,0.015978004,217,980000,980000,0.006,0,29946.073
42.895182,-83.598268,0,94,944391,944391,0.001,0,34953.55173
42.968303,-83.677377,0,76,915000,915000,0,0,4580.480109
42.898308,-83.598642,0,46,9.00E+05,9.00E+05,0.001,0,33881.69329
42.983739,-83.631295,0,63,9.00E+05,9.00E+05,0,0,3892.25192
43.02075,-83.661947,0.011012998,219,8.00E+05,8.00E+05,0.001862069,1,7192.110378
42.961814,-83.676622,0.014873201,222,778000,778000,0,0,6500.772526
42.994889,-83.718936,0,157,768261,768261,0.003333333,1,2415.242579
42.895262,-83.597166,0,139,760010,760010,0.001,0,35053.54259
42.895182,-83.598268,0,84,749000,749000,0.001,0,34953.55173
43.012553,-83.676088,0,123,7.00E+05,7.00E+05,0.01225,1,9059.273928
43.062985,-83.601034,0.014166464,217,650000,650000,0,0,5849.605502
42.904068,-83.703099,0,21,649900,649900,0.00075,0,17990.67962
42.997394,-83.715402,0,82,625000,625000,0.024235955,1,3388.761408
43.028603,-83.677714,0,167,625000,625000,0.001,1,10849.11633
43.029044,-83.675115,0,108,615300,615300,0.016135135,1,10274.92286
42.895182,-83.598268,0,186,6.00E+05,6.00E+05,0.001,0,34953.55173
42.891301,-83.592599,0,48,590000,590000,0.001,0,36886.93866
42.97734,-83.665717,0,125,581300,581300,0,0,1688.327007
42.998173,-83.668934,0,74,575000,575000,0.00621875,1,5289.734758
43.084947,-83.817082,0,109,571644,571644,0,0,22598.11576
43.0348,-83.788784,0,75,571213,571213,0,0,12337.20915
42.992605,-83.721277,0,73,570000,570000,0.011368421,1,1557.548264
42.895262,-83.597166,0,115,562500,562500,0.001,0,35053.54259
42.991727,-83.730333,0,65,560000,560000,0.002090909,1,722.2796333
42.891301,-83.592599,0,29,550000,550000,0.001,0,36886.93866
42.937991,-83.689785,0,41,543141,543141,0.0025,0,12370.49994
42.891301,-83.592599,0.014988781,215,535000,535000,0.001,0,36886.93866
43.0348,-83.788784,0,40,527000,527000,0,0,12337.20915
42.889431,-83.5963,0,92,525000,525000,0.001,0,37077.47605
42.889431,-83.5963,0,9,525000,525000,0.001,0,37077.47605
43.025545,-83.804107,0,54,525000,525000,0,0,16433.55584
42.994889,-83.718936,0,79,520000,520000,0.003333333,1,2415.242579
42.995104,-83.693937,0.020451998,207,519320,519320,0.012888889,1,5068.7389
43.001227,-83.716896,0,168,500900,500900,0.001,1,4745.782105
43.057362,-83.83051,0,73,500405,500405,0,0,24752.42872
42.999133,-83.715451,0,103,495000,495000,0.008,1,4014.363897
42.992605,-83.721277,0,110,490000,490000,0.011368421,1,1557.548264
43.056919,-83.829631,0.008511432,202,490000,490000,0,0,24526.1044
42.996273,-83.719636,0,68,480000,480000,0.0058,1,2911.414031
43.016611,-83.676384,0,97,475000,475000,0.022419355,1,9737.151981
42.892694,-83.592532,0,103,470000,470000,0.001,0,36440.60055
42.899164,-83.598306,0.014995348,213,466000,466000,0.001,0,33640.5907
42.892694,-83.592532,0.005888047,204,460000,460000,0.001,0,36440.60055
42.988707,-83.731015,0,46,454000,454000,0.024235955,1,512.3138941
42.995327,-83.718904,0,9,450000,450000,0.003333333,1,2575.086884
42.951783,-83.69164,0,49,450000,450000,0.001,0,9011.702466
42.998659,-83.714808,0,56,449942,449942,0.008,1,3869.798012
43.025545,-83.804107,0,67,445000,445000,0,0,16433.55584
42.995327,-83.718904,0,90,440374,440374,0.003333333,1,2575.086884
43.016611,-83.676384,0,37,437000,437000,0.022419355,1,9737.151981
42.995327,-83.718904,0,3,434371,434371,0.003333333,1,2575.086884
42.895171,-83.600071,0,188,432000,432000,0.001,0,34754.98382
42.904068,-83.703099,0,107,432000,432000,0.00075,0,17990.67962
43.02611,-83.806674,0,58,432000,432000,0,0,17110.92309
42.989987,-83.730492,0,83,429000,429000,0.021617647,1,663.8773825
43.013222,-83.670084,0,60,425000,425000,0.00937931,1,7674.71293
43.056794,-83.829214,0,187,425000,425000,0,0,24417.32098
42.888445,-83.593482,0,83,423425,423425,0.001,0,37721.13898
42.895171,-83.600071,0,142,422574,422574,0.001,0,34754.98382
42.998173,-83.668934,0,75,415000,415000,0.00621875,1,5289.734758
42.902011,-83.593212,0,23,410000,410000,0.001,0,33352.76993
43.028485,-83.801585,0,56,410000,410000,0,0,15742.83188
42.890532,-83.596733,0.014899248,217,405000,405000,0.001,0,36664.25556
42.892694,-83.592532,0,124,405000,405000,0.001,0,36440.60055
42.904068,-83.703099,0,10,404943,404943,0.00075,0,17990.67962
43.017826,-83.677964,0,64,4.00E+05,4.00E+05,0.06028,1,10320.28908
43.016161,-83.671343,0,59,4.00E+05,4.00E+05,0.0045,1,8485.123401
42.995482,-83.719862,0,17,4.00E+05,4.00E+05,0.003333333,1,2620.875405
42.994889,-83.718936,0,40,4.00E+05,4.00E+05,0.003333333,1,2415.242579
42.891301,-83.592599,0,165,4.00E+05,4.00E+05,0.001,0,36886.93866
42.891301,-83.592599,0,160,4.00E+05,4.00E+05,0.001,0,36886.93866
42.959051,-83.687614,0,179,4.00E+05,4.00E+05,0.001,0,6424.144102
42.899164,-83.598306,0,70,395000,395000,0.001,0,33640.5907
42.99162,-83.72364,0,16,390000,390000,0.015227273,1,1193.518228
42.994102,-83.719728,0,15,387000,387000,0.003333333,1,2119.867028
42.899164,-83.598306,0,56,386000,386000,0.001,0,33640.5907
42.899437,-83.599197,0,65,385000,385000,0.001,0,33446.54199
42.989987,-83.730492,0,126,382646,382646,0.021617647,1,663.8773825
42.996273,-83.719636,0,22,378414,378414,0.0058,1,2911.414031
43.085121,-83.834936,0,142,376974,376974,0,0,27324.93966
42.997394,-83.715402,0,186,375000,375000,0.024235955,1,3388.761408
42.899164,-83.598306,0,32,375000,375000,0.001,0,33640.5907
43.002584,-83.60082,0,84,375000,375000,0,0,9146.177144
42.899164,-83.598306,0,74,372000,372000,0.001,0,33640.5907
43.024165,-83.790377,0,32,371400,371400,0,0,12808.56752
42.893065,-83.592544,0,134,367361,367361,0.001,0,36318.3963
42.902692,-83.595815,0,27,365000,365000,0.001,0,32801.03213
43.024891,-83.805401,0,58,360000,360000,0,0,16792.06151
42.937588,-83.583211,0,85,357665,357665,0,0,24861.46339
43.018504,-83.790397,0,48,355000,355000,0,0,13182.27863
42.893697,-83.59952,0,89,353562,353562,0.001,0,35305.31383
43.034934,-83.787818,0,36,353504,353504,0,0,12080.41522
43.057044,-83.830043,0,97,351000,351000,0,0,24633.60395
42.988707,-83.731015,0,117,350000,350000,0.024235955,1,512.3138941
42.889636,-83.592536,0,12,350000,350000,0.001,0,37439.23353
43.085005,-83.837309,0,30,350000,350000,0,0,27947.64368
43.024664,-83.793979,0,90,350000,350000,0,0,13751.32006
42.889117,-83.595874,0,29,347000,347000,0.001,0,37228.95618
43.028664,-83.802623,0,50,345200,345200,0,0,16021.60823
42.996129,-83.718802,0,168,345000,345000,0.0058,1,2868.252551
42.945529,-83.587107,0.015058097,216,344000,344000,0,0,22016.0449
42.890974,-83.592589,0,188,342000,342000,0.001,0,36994.99102
42.895262,-83.597166,0,82,340000,340000,0.001,0,35053.54259
43.085005,-83.837309,0,38,340000,340000,0,0,27947.64368
43.024958,-83.804837,0,36,340000,340000,0,0,16640.04871
43.0209,-83.792479,0,102,340000,340000,0,0,13534.61158
42.937098,-83.58294,0.015294005,213,338500,338500,0,0,25033.0276
43.084947,-83.817082,0,178,338000,338000,0,0,22598.11576
42.944707,-83.586148,0.015468732,211,336160,336160,0,0,22410.14671
42.891977,-83.592618,0,102,336000,336000,0.001,0,36663.98327
42.944405,-83.586131,0.013924461,208,334855,334855,0,0,22493.48731
