Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary,ExpectedLead_025km,ExpectedLead_400km
43.018396,-83.79155,0.018602168,6335,0,0,0,0,13490.54455,0,0.316028369
43.016948,-83.789921,0.018043812,6525,122000,122000,0,0,13216.1559,0,0.248727778
43.018766,-83.789985,0.016250146,6652,0,0,0,0,13051.60019,0,0.240602151
43.032429,-83.790781,0.018940526,6384,203000,203000,0,0,12878.73347,0,0.233244792
43.032327,-83.789852,0.018886131,6337,154160,154160,0,0,12632.25506,0,0.232056995
43.032429,-83.790781,0.018834914,6400,165239,165239,0,0,12878.73347,0,0.232036269
43.013992,-83.78756,0.01855991,6390,0,0,0,0,12876.05323,0,0.224653465
43.018786,-83.788406,0.018210901,6702,0,0,0,0,12641.2694,0,0.212649289
43.016858,-83.787454,0.017908409,6660,121000,121000,0,0,12597.86721,0,0.208730233
43.016858,-83.787454,0.017908409,6693,0,0,0,0,12597.86721,0,0.208730233
43.020456,-83.788477,0.018715468,6436,0,0,0,0,12517.22848,0,0.208395349
43.043285,-83.785687,0.017839681,6350,133500,133500,0,0,11999.57185,0,0.181197581
43.031648,-83.788412,0.018162487,6737,140000,140000,0,0,12261.99764,0,0.160603571
43.032414,-83.787599,0.017638579,6744,247000,247000,0,0,12029.07514,0,0.150063333
43.042986,-83.784878,0.018051366,6691,0,0,0,0,11761.34828,0,0.14752459
43.030086,-83.782886,0.018640946,6583,126000,126000,0.002,0,10775.71694,0.001,0.104183752
42.986774,-83.666413,0.040685759,5944,0,0,0.003125,1,1750.810866,0.006,0.1014
43.02709,-83.778802,0.018289057,6399,135000,135000,0.002,0,9651.148696,0,0.079837388
43.029055,-83.77888,0.019321313,6401,148000,148000,0.002,0,9682.081594,0,0.077415347
43.028077,-83.778145,0.019600909,6404,124000,124000,0.002,0,9473.936295,0,0.073639745
43.032278,-83.776705,0.018452728,6464,74900,74900,0.004,0,9123.662959,0.001,0.060289696
43.031854,-83.776397,0.01839946,6603,65000,65000,0.004,0,9053.088745,0.001,0.05548534
43.032537,-83.774932,0.020196553,6351,89999,89999,0.004,0,8644.675351,0,0.055385211
43.026194,-83.775368,0.019066163,6684,0,0,0,0,8747.602057,0.002,0.050934795
42.987088,-83.666315,0.028295848,6008,0,0,0.003125,1,1865.098229,0.006,0.049166667
43.024485,-83.774489,0.019086633,6639,115800,115800,0.002,0,8575.684159,0.002,0.047492915
42.985698,-83.708924,0.006880953,6007,52000,52000,0.004864865,1,1704.069439,0.003,0.045538462
42.982916,-83.670015,0.049110299,6023,0,0,0.002933333,1,358.3614547,0.1054,0.045214286
42.982805,-83.672276,0.071570894,6014,17000,17000,0.069105263,1,329.0457532,0.087833333,0.045214286
42.987035,-83.686854,0.025161395,6015,13000,13000,0.002551724,1,1995.97891,0.042,0.042533333
42.984914,-83.684241,0.034571947,6016,0,0,0.008125,1,1181.444679,0.042,0.042533333
